timestamp,rtt,jitter,throughput,goodput,retransmissions,cwnd
1764811488.5154996,0.023,0,124543211.343,4096,0,3
1764811488.51636,0.025,0.002,117716262.345,4096,0,3
1764811489.5166674,0.029,0.004,105434814.423,4096,0,5
1764811490.517695,0.027,0.0,109465632.78,4096,0,7
1764811490.5177329,0.023,0.005,125452663.998,4096,0,7
1764811491.4886994,0.022,0.006,127312006.488,4096,0,9
1764811491.518695,0.028,0.005,108088213.136,4096,0,9
1764811492.420788,0.022,0.006,126375496.561,4096,0,11
1764811492.451707,0.028,0.006,106745027.21,4096,0,11
1764811493.3733537,0.022,0.008,129227293.012,4096,0,13
1764811493.3963456,0.029,0.007,104156375.34,4096,0,13
1764811494.3396964,0.021,0.008,133236110.953,4096,0,15
1764811494.3554187,0.029,0.007,105434814.423,4096,0,15
1764811495.314451,0.02,0.016,136409834.033,4096,0,17
1764811495.3264828,0.036,0.015,89505038.495,4096,0,17
1764811496.2940884,0.015,0.008,165281573.292,4096,0,19
1764811496.3040447,0.023,0.003,125452663.998,4096,0,19
1764811497.2770553,0.02,0.0,136409834.033,4096,0,21
1764811497.285054,0.02,0.005,137501610.206,4096,0,21
1764811498.2640603,0.012,0.018,184842987.533,4096,1,23
1764811498.2709136,0.031,0.01,101091925.765,4096,1,23
1764811499.2524657,0.013,0.01,177216117.671,4096,1,25
1764811499.25843,0.023,0.011,124543211.343,4096,1,25
1764811500.2434947,0.02,0.0,135335258.9,4096,1,27
1764811500.247536,0.02,0.007,136409834.033,4096,1,27
1764811501.3257651,0.028,0.008,106745027.21,4096,1,28
1764811501.4848096,0.028,0.0,107412421.222,4096,1,29
1764811502.6297045,0.03,0.001,103528711.924,4096,1,30
1764811502.7886732,0.027,0.003,111598869.192,4096,1,31
1764811503.929831,0.027,0.001,109465632.78,4096,1,32
1764811504.0918427,0.03,0.002,102908568.0,4096,1,33
1764811505.235903,0.029,0.0,104156375.34,4096,1,34
1764811505.3979352,0.029,0.0,104156375.34,4096,1,35
1764811506.542443,0.037,0.008,86355718.622,4096,1,36
1764811506.7035334,0.028,0.01,108088213.136,4096,1,37
1764811507.847892,0.026,0.002,113067825.838,4096,1,38
1764811508.0095875,0.027,0.001,110167591.859,4096,1,39
1764811509.152082,0.025,0.002,116915161.031,4096,1,40
1764811509.3148623,0.03,0.005,102295809.246,4096,1,41
1764811510.4180336,0.026,0.004,112328545.215,4096,1,43
1764811510.4980361,0.027,0.001,109465632.78,4096,1,43
1764811511.7230597,0.043,0.016,77059455.115,4096,1,44
1764811511.9681225,0.03,0.013,101690304.519,4096,1,45
1764811513.1940842,0.03,0.0,101690304.519,4096,1,46
1764811513.4370472,0.031,0.0,100500547.925,4096,1,47
1764811514.665117,0.041,0.011,79557410.991,4096,1,48
1764811514.9081316,0.028,0.013,106745027.21,4096,1,49
1764811516.1357565,0.027,0.001,110878611.805,4096,1,50
1764811516.3807316,0.035,0.008,90447479.329,4096,1,51
1764811517.6087642,0.029,0.007,106085875.528,4096,1,52
1764811517.853388,0.029,0.0,105434814.423,4096,1,53
1764811519.0797915,0.029,0.0,106085875.528,4096,1,54
1764811519.3238666,0.027,0.001,109465632.78,4096,1,55
1764811520.5487857,0.03,0.003,102295809.246,4096,1,56
1764811520.79325,0.028,0.002,107412421.222,4096,1,57
1764811522.019798,0.032,0.004,97644494.4,4096,1,58
1764811522.2643852,0.038,0.006,85923817.023,4096,1,59
1764811523.4914436,0.029,0.009,106085875.528,4096,1,60
1764811523.7335458,0.026,0.002,112328545.215,4096,1,61
1764811693.454653,0.018,0,145662424.709,4096,0,3
1764811693.454609,0.023,0.005,125452663.998,4096,0,3
1764811694.4551482,0.036,0.002,89505038.495,4096,0,5
1764811695.455143,0.029,0.007,104791695.848,4096,0,7
1764811695.4557512,0.015,0.014,162161376.377,4096,0,7
1764811696.4277322,0.023,0.005,125452663.998,4096,0,9
1764811696.4575717,0.028,0.012,108772562.463,4096,0,9
1764811697.3595786,0.021,0.01,130206710.29,4096,0,11
1764811697.3905725,0.031,0.008,99916048.85,4096,0,11
1764811698.312569,0.025,0.005,116124889.579,4096,0,13
1764811698.3346033,0.03,0.009,102295809.246,4096,0,13
1764811699.2777815,0.024,0.005,121892284.883,4096,0,15
1764811699.294803,0.028,0.003,107412421.222,4096,0,15
1764811700.2528164,0.025,0.004,118528417.674,4096,0,17
1764811700.2659116,0.028,0.005,106745027.21,4096,0,17
1764811701.2324648,0.024,0.005,120186818.358,4096,0,19
1764811701.2415042,0.029,0.004,106085875.528,4096,0,19
1764811702.2159984,0.022,0.009,127312006.488,4096,0,21
1764811702.2240317,0.031,0.007,100500547.925,4096,0,21
1764811703.2026675,0.022,0.007,129227293.012,4096,0,23
1764811703.2087128,0.029,0.007,104791695.848,4096,0,23
1764811704.19177,0.025,0.008,117716262.345,4096,0,25
1764811704.1977735,0.032,0.011,96547014.056,4096,0,25
1764811705.182956,0.023,0.006,124543211.343,4096,0,27
1764811705.1869595,0.029,0.004,105434814.423,4096,0,27
1764811706.5528617,0.03,0.007,101690304.519,4096,0,28
1764811706.71185,0.03,0.0,101690304.519,4096,0,29
1764811707.854784,0.028,0.002,108088213.136,4096,0,30
1764811708.015779,0.03,0.002,103528711.924,4096,0,31
1764811709.15947,0.028,0.002,108088213.136,4096,0,32
1764811709.3204706,0.03,0.002,103528711.924,4096,0,33
1764811710.4645443,0.026,0.003,113067825.838,4096,0,34
1764811710.625522,0.029,0.002,106085875.528,4096,0,35
1764811711.7712111,0.025,0.003,116124889.579,4096,0,36
1764811711.932163,0.031,0.005,101091925.765,4096,0,37
1764811713.0771697,0.028,0.003,108088213.136,4096,0,38
1764811713.237203,0.025,0.003,116124889.579,4096,0,39
1764811714.3828087,0.038,0.013,85072846.205,4096,0,40
1764811714.5437636,0.03,0.008,102908568.0,4096,0,41
1764811715.7263958,0.029,0.001,106085875.528,4096,0,42
1764811715.9703877,0.033,0.004,96007473.574,4096,0,43
1764811717.1953342,0.029,0.004,105434814.423,4096,0,44
1764811717.4303627,0.03,0.001,103528711.924,4096,0,45
1764811718.6678054,0.025,0.004,116124889.579,4096,0,46
1764811718.9108903,0.025,0.0,117716262.345,4096,0,47
1764811720.1389751,0.032,0.007,97644494.4,4096,0,48
1764811720.3810644,0.026,0.006,115345229.854,4096,0,49
1764811721.6100168,0.037,0.012,86355718.622,4096,0,50
1764811722.4270618,0.032,0.005,97092653.003,4096,0,51
1764811723.6530776,0.028,0.004,108088213.136,4096,0,52
1764811723.8991513,0.029,0.001,106085875.528,4096,0,53
1764811725.1258597,0.027,0.001,109465632.78,4096,0,54
1764811725.3699055,0.029,0.001,105434814.423,4096,0,55
1764811726.5933826,0.032,0.003,98202644.609,4096,0,56
1764811726.8388498,0.03,0.002,102295809.246,4096,0,57
1764811728.0638056,0.03,0.0,103528711.924,4096,0,58
1764811728.3098607,0.023,0.007,125452663.998,4096,0,59
1764811729.5367825,0.027,0.004,110878611.805,4096,0,60
1764811729.7828574,0.026,0.001,113816901.952,4096,0,61
